feature,importance
Année-Modèle,0.3429466578178388
Boite de vitesses,0.10069803462053104
Marque,0.0991267551734213
Modèle,0.09609464783229224
Puissance fiscale,0.09347532387406637
Kilométrage,0.06771379870513396
Ville,0.038035542432248756
Première main,0.03545612453540409
Type de carburant,0.034458419277151306
ESP,0.025255163625798667
État,0.01861503353925181
Origine,0.016305794101317057
Climatisation,0.010510880137939504
ABS,0.00939085580451644
CD/MP3/Bluetooth,0.008953333109878003
Nombre de portes,0.00296363541321084
Jantes aluminium,0.0
Système de navigation/GPS,0.0
Toit ouvrant,0.0
Sièges cuir,0.0
Radar de recul,0.0
Caméra de recul,0.0
Vitres électriques,0.0
Régulateur de vitesse,0.0
Limiteur de vitesse,0.0
Ordinateur de bord,0.0
Verrouillage centralisé à distance,0.0
